POLY_0_0_156;-30;14.3780097019778;-33;-29.9735907166664;13.7767047963555;-33.6074804658786;-29.8945621381646;13.1799370426252;-34.2103771821164;-29.7635105753862;12.5922093575565;-34.804140985799;-29.5814248791463;12.0179564459943;-35.3842916264908;-29.3496789788001;11.461511338752;-35.9464515720072;-29.0700215152458;10.9270726976858;-36.4863790391254;-28.744562646538;10.4186731346519;-37
POLY_0_0_158;-28.744562646538;10.4186731346519;-37;-28.744562646538;-30.5;-37
POLY_0_0_166;-28.744562646538;-30.5;-37;-29.0700215152458;-31.0136209608746;-36.4863790391254;-29.3496789788001;-31.5535484279927;-35.9464515720072;-29.5814248791463;-32.1157083735092;-35.3842916264908;-29.7635105753862;-32.695859014201;-34.804140985799;-29.8945621381646;-33.2896228178836;-34.2103771821164;-29.9735907166664;-33.8925195341214;-33.6074804658786;-30;-34.5;-33
POLY_0_0_182;-30;-40;33;-29.9616532675779;-40;33.7316992428736;-29.8470332051366;-40;34.4553818357243;-29.6573956140661;-40;35.1631189606246;-29.3948182034982;-40;35.8471565015306;-29.062177826491;-40;36.5;-28.6631189606246;-40;37.1144967660473;-28.2020137783417;-40;37.683914244512;-27.683914244512;-40;38.2020137783418;-27.1144967660473;-40;38.6631189606246;-26.5;-40;39.0621778264911;-25.8471565015306;-40;39.3948182034982;-25.1631189606246;-40;39.6573956140661;-24.4553818357243;-40;39.8470332051366;-23.7316992428736;-40;39.9616532675779;-23;-40;40
POLY_0_0_198;-30;40;33;-29.9616532675779;40;33.7316992428736;-29.8470332051366;40;34.4553818357243;-29.6573956140661;40;35.1631189606246;-29.3948182034982;40;35.8471565015306;-29.062177826491;40;36.5;-28.6631189606246;40;37.1144967660473;-28.2020137783417;40;37.683914244512;-27.683914244512;40;38.2020137783418;-27.1144967660473;40;38.6631189606246;-26.5;40;39.0621778264911;-25.8471565015306;40;39.3948182034982;-25.1631189606246;40;39.6573956140661;-24.4553818357243;40;39.8470332051366;-23.7316992428736;40;39.9616532675779;-23;40;40
POLY_0_0_247;10.5;-25;40;10.5384981238179;-24.4126321350098;40;10.6533337816992;-23.8353142970386;40;10.8425421036992;-23.2779245543571;40;11.1028856829701;-22.75;40;11.4299099686895;-22.2605735694607;40;11.8180194846606;-21.8180194846605;40;12.2605735694608;-21.4299099686894;40;12.75;-21.10288568297;40;13.2779245543571;-20.8425421036992;40;13.8353142970387;-20.6533337816992;40;14.4126321350098;-20.5384981238178;40;15;-20.5;40;15.5873678649903;-20.5384981238178;40;16.1646857029614;-20.6533337816992;40;16.7220754456429;-20.8425421036992;40;17.25;-21.10288568297;40;17.7394264305393;-21.4299099686894;40;18.1819805153395;-21.8180194846605;40;18.5700900313106;-22.2605735694607;40;18.89711431703;-22.75;40;19.1574578963008;-23.2779245543571;40;19.3466662183008;-23.8353142970386;40;19.4615018761822;-24.4126321350097;40;19.5;-25;40;19.4615018761822;-25.5873678649902;40;19.3466662183008;-26.1646857029613;40;19.1574578963008;-26.7220754456429;40;18.89711431703;-27.25;40;18.5700900313106;-27.7394264305392;40;18.1819805153395;-28.1819805153394;40;17.7394264305393;-28.5700900313105;40;17.25;-28.89711431703;40;16.7220754456429;-29.1574578963008;40;16.1646857029614;-29.3466662183008;40;15.5873678649903;-29.4615018761821;40;15;-29.5;40;14.4126321350098;-29.4615018761821;40;13.8353142970387;-29.3466662183008;40;13.2779245543571;-29.1574578963008;40;12.75;-28.89711431703;40;12.2605735694608;-28.5700900313105;40;11.8180194846606;-28.1819805153394;40;11.4299099686895;-27.7394264305392;40;11.1028856829701;-27.25;40;10.8425421036992;-26.7220754456429;40;10.6533337816992;-26.1646857029613;40;10.5384981238179;-25.5873678649902;40;10.5;-25;40
POLY_0_0_296;-19.5;-25;40;-19.4615018761821;-24.4126321350098;40;-19.3466662183008;-23.8353142970386;40;-19.1574578963008;-23.2779245543571;40;-18.8971143170299;-22.75;40;-18.5700900313105;-22.2605735694607;40;-18.1819805153394;-21.8180194846605;40;-17.7394264305392;-21.4299099686894;40;-17.25;-21.10288568297;40;-16.7220754456429;-20.8425421036992;40;-16.1646857029613;-20.6533337816992;40;-15.5873678649902;-20.5384981238178;40;-15;-20.5;40;-14.4126321350097;-20.5384981238178;40;-13.8353142970386;-20.6533337816992;40;-13.2779245543571;-20.8425421036992;40;-12.75;-21.10288568297;40;-12.2605735694607;-21.4299099686894;40;-11.8180194846605;-21.8180194846605;40;-11.4299099686894;-22.2605735694607;40;-11.10288568297;-22.75;40;-10.8425421036992;-23.2779245543571;40;-10.6533337816992;-23.8353142970386;40;-10.5384981238178;-24.4126321350098;40;-10.5;-25;40;-10.5384981238178;-25.5873678649902;40;-10.6533337816992;-26.1646857029613;40;-10.8425421036992;-26.7220754456429;40;-11.10288568297;-27.25;40;-11.4299099686894;-27.7394264305392;40;-11.8180194846605;-28.1819805153394;40;-12.2605735694607;-28.5700900313105;40;-12.75;-28.89711431703;40;-13.2779245543571;-29.1574578963008;40;-13.8353142970386;-29.3466662183008;40;-14.4126321350097;-29.4615018761821;40;-15;-29.5;40;-15.5873678649902;-29.4615018761821;40;-16.1646857029613;-29.3466662183008;40;-16.7220754456429;-29.1574578963008;40;-17.25;-28.89711431703;40;-17.7394264305392;-28.5700900313105;40;-18.1819805153394;-28.1819805153394;40;-18.5700900313105;-27.7394264305392;40;-18.8971143170299;-27.25;40;-19.1574578963008;-26.7220754456429;40;-19.3466662183008;-26.1646857029613;40;-19.4615018761821;-25.5873678649902;40;-19.5;-25;40
POLY_0_0_345;-19.5;5.00000000000001;40;-19.4615018761821;5.58736786499024;40;-19.3466662183008;6.16468570296135;40;-19.1574578963008;6.72207544564291;40;-18.8971143170299;7.25000000000001;40;-18.5700900313105;7.73942643053925;40;-18.1819805153394;8.18198051533948;40;-17.7394264305392;8.57009003131057;40;-17.25;8.89711431702998;40;-16.7220754456429;9.1574578963008;40;-16.1646857029613;9.34666621830082;40;-15.5873678649902;9.46150187618215;40;-15;9.50000000000001;40;-14.4126321350097;9.46150187618215;40;-13.8353142970386;9.34666621830082;40;-13.2779245543571;9.1574578963008;40;-12.75;8.89711431702998;40;-12.2605735694607;8.57009003131057;40;-11.8180194846605;8.18198051533948;40;-11.4299099686894;7.73942643053925;40;-11.10288568297;7.25000000000001;40;-10.8425421036992;6.72207544564291;40;-10.6533337816992;6.16468570296135;40;-10.5384981238178;5.58736786499024;40;-10.5;5.00000000000001;40;-10.5384981238178;4.41263213500978;40;-10.6533337816992;3.83531429703866;40;-10.8425421036992;3.27792455435711;40;-11.10288568297;2.75000000000001;40;-11.4299099686894;2.26057356946077;40;-11.8180194846605;1.81801948466055;40;-12.2605735694607;1.42990996868946;40;-12.75;1.10288568297004;40;-13.2779245543571;0.842542103699216;40;-13.8353142970386;0.65333378169921;40;-14.4126321350097;0.53849812381786;40;-15;0.500000000000014;40;-15.5873678649902;0.53849812381786;40;-16.1646857029613;0.65333378169921;40;-16.7220754456429;0.842542103699216;40;-17.25;1.10288568297004;40;-17.7394264305392;1.42990996868946;40;-18.1819805153394;1.81801948466055;40;-18.5700900313105;2.26057356946077;40;-18.8971143170299;2.75000000000001;40;-19.1574578963008;3.27792455435711;40;-19.3466662183008;3.83531429703866;40;-19.4615018761821;4.41263213500978;40;-19.5;5.00000000000001;40
POLY_0_0_394;10.5;5.00000000000001;40;10.5384981238179;5.58736786499024;40;10.6533337816992;6.16468570296135;40;10.8425421036992;6.72207544564291;40;11.1028856829701;7.25000000000001;40;11.4299099686895;7.73942643053925;40;11.8180194846606;8.18198051533948;40;12.2605735694608;8.57009003131057;40;12.75;8.89711431702998;40;13.2779245543571;9.1574578963008;40;13.8353142970387;9.34666621830082;40;14.4126321350098;9.46150187618215;40;15;9.50000000000001;40;15.5873678649903;9.46150187618215;40;16.1646857029614;9.34666621830082;40;16.7220754456429;9.1574578963008;40;17.25;8.89711431702998;40;17.7394264305393;8.57009003131057;40;18.1819805153395;8.18198051533948;40;18.5700900313106;7.73942643053925;40;18.89711431703;7.25000000000001;40;19.1574578963008;6.72207544564291;40;19.3466662183008;6.16468570296135;40;19.4615018761822;5.58736786499024;40;19.5;5.00000000000001;40;19.4615018761822;4.41263213500978;40;19.3466662183008;3.83531429703866;40;19.1574578963008;3.27792455435711;40;18.89711431703;2.75000000000001;40;18.5700900313106;2.26057356946077;40;18.1819805153395;1.81801948466055;40;17.7394264305393;1.42990996868946;40;17.25;1.10288568297004;40;16.7220754456429;0.842542103699216;40;16.1646857029614;0.65333378169921;40;15.5873678649903;0.53849812381786;40;15;0.500000000000014;40;14.4126321350098;0.53849812381786;40;13.8353142970387;0.65333378169921;40;13.2779245543571;0.842542103699216;40;12.75;1.10288568297004;40;12.2605735694608;1.42990996868946;40;11.8180194846606;1.81801948466055;40;11.4299099686895;2.26057356946077;40;11.1028856829701;2.75000000000001;40;10.8425421036992;3.27792455435711;40;10.6533337816992;3.83531429703866;40;10.5384981238179;4.41263213500978;40;10.5;5.00000000000001;40
POLY_0_0_396;-23;-40;40;23;-40;40
